cohort_id,cohort_version,freeze_date,freeze_date_tag,snapshot_read_only,record_id,doi,year,outcome_id,target_name,matrix_before,matrix_after,treatment_process,outcome_type,reported_outcome_value,reported_outcome_unit,calculated_by_llm,paired_data_status,reported_outcome_value_min,reported_outcome_value_max,repair_applied,linked_measurement_ids,extraction_source,extraction_model,prompt_rule_version,value_scope,inter_run_agreement,normalized_target_name,normalized_arg_class,normalized_target_type,target_scope,target_eligibility_for_quant,normalized_matrix_before,matrix_before_group,normalized_matrix_after,matrix_after_group,normalized_treatment_process,treatment_group,matrix_transition_type,matrix_transition_before_class,matrix_transition_after_class,normalized_outcome_type,outcome_group,normalized_outcome_unit,outcome_unit_family,log_harmonization_status,outcome_direction,normalized_paired_data_status,valid_for_removal_synthesis,pairing_quality_flag,processing_stream,direction_inference_label,direction_inference_confidence,analysis_value,value_parse_method,gene_family,route,outlier_flag,rescued_normalized_treatment_process,rescued_treatment_group,rescued_technology_supergroup,technology_supergroup,technology_supergroup_4group
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0132,10.1007/s11356-023-31287-w,2024,O_000196,sul2,influent,final effluent,vermifiltration,reduction,80.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,sul2,sulfonamide resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,vermifiltration,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,80.8,single_numeric,sul,influent_to_final_effluent,,vermifiltration,nature_based_treatment,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0199,10.1016/j.watres.2014.05.019,2014,O_000325,tetA,influent,secondary effluent,sewage treatment process,removal_efficiency,99.94,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetA,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,secondary_effluent,liquid_effluent,sewage treatment process,unclear,cross_stage_route,influent,secondary_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,99.94,single_numeric,tet,influent_to_secondary_effluent,,anaerobic_digestion,anaerobic_digestion,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0199,10.1016/j.watres.2014.05.019,2014,O_000326,tetC,influent,secondary effluent,sewage treatment process,removal_efficiency,97.38,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetC,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,secondary_effluent,liquid_effluent,sewage treatment process,unclear,cross_stage_route,influent,secondary_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,97.38,single_numeric,tet,influent_to_secondary_effluent,,anaerobic_digestion,anaerobic_digestion,biological-advanced,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0367,10.1016/j.chemosphere.2022.137362,2023,O_000666,tetX,activated sludge,anaerobic sludge,anaerobic digestion,reduction,70.0,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetX,tetracycline resistance,ARG,gene_specific,Yes,activated_sludge,sludge_mixed_liquor,anaerobic_sludge,sludge_anaerobic,anaerobic_digestion,anaerobic_digestion,cross_stage_route,activated_sludge,anaerobic_sludge,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,70.0,single_numeric,tet,activated_sludge_to_anaerobic_sludge,,primary_settling,primary_treatment,disinfection,disinfection,disinfection
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0483,10.1016/j.scitotenv.2014.07.024,2014,O_000890,tetA,influent,effluent,swine farm WWTP,removal_efficiency,18.15,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetA,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,swine farm WWTP,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,18.15,single_numeric,tet,influent_to_final_effluent,,activated_sludge,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0483,10.1016/j.scitotenv.2014.07.024,2014,O_000891,tetW,influent,effluent,swine farm WWTP,removal_efficiency,96.15,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetW,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,swine farm WWTP,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,96.15,single_numeric,tet,influent_to_final_effluent,,activated_sludge,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0483,10.1016/j.scitotenv.2014.07.024,2014,O_000892,sulI,influent,effluent,swine farm WWTP,removal_efficiency,64.24,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,swine farm WWTP,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,64.24,single_numeric,sul,influent_to_final_effluent,,activated_sludge,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0483,10.1016/j.scitotenv.2014.07.024,2014,O_000893,sulII,influent,effluent,swine farm WWTP,removal_efficiency,90.24,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,sul2,sulfonamide resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,swine farm WWTP,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,90.24,single_numeric,sul,influent_to_final_effluent,,activated_sludge,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0483,10.1016/j.scitotenv.2014.07.024,2014,O_000894,blaTEM,influent,effluent,swine farm WWTP,removal_efficiency,97.93,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,blaTEM,beta-lactam resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,swine farm WWTP,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,97.93,single_numeric,bla,influent_to_final_effluent,,activated_sludge,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0495,10.1016/j.scitotenv.2020.144176,2021,O_000917,mecA,influent,effluent,activated sludge,removal_efficiency,94.1,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,mecA,beta-lactam/methicillin resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,activated_sludge,secondary_biological_treatment,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,94.1,single_numeric,bla,influent_to_final_effluent,,activated_sludge,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0495,10.1016/j.scitotenv.2020.144176,2021,O_000918,vanA,influent,effluent,activated sludge,removal_efficiency,99.0,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,vanA,glycopeptide resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,activated_sludge,secondary_biological_treatment,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,99.0,single_numeric,other,influent_to_final_effluent,,activated_sludge,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0495,10.1016/j.scitotenv.2020.144176,2021,O_000922,vanA,influent,effluent,activated sludge,reduction,72.9,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,vanA,glycopeptide resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,activated_sludge,secondary_biological_treatment,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,72.9,single_numeric,other,influent_to_final_effluent,,activated_sludge,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0520,10.1016/j.wroa.2026.100506,2026,O_000977,blaOXA,influent,effluent,conventional wastewater treatment,reduction,59.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,blaOXA,beta-lactam resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,conventional wastewater treatment,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,59.8,single_numeric,bla,influent_to_final_effluent,,conventional_WWTP,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0520,10.1016/j.wroa.2026.100506,2026,O_000978,blaSHV,influent,effluent,conventional wastewater treatment,reduction,59.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,blaSHV,beta-lactam resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,conventional wastewater treatment,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,59.8,single_numeric,bla,influent_to_final_effluent,,conventional_WWTP,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0520,10.1016/j.wroa.2026.100506,2026,O_000979,blaTEM,influent,effluent,conventional wastewater treatment,reduction,59.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,blaTEM,beta-lactam resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,conventional wastewater treatment,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,59.8,single_numeric,bla,influent_to_final_effluent,,conventional_WWTP,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0520,10.1016/j.wroa.2026.100506,2026,O_000980,ermB,influent,effluent,conventional wastewater treatment,reduction,59.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,ermB,macrolide-lincosamide-streptogramin resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,conventional wastewater treatment,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,59.8,single_numeric,erm,influent_to_final_effluent,,conventional_WWTP,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0520,10.1016/j.wroa.2026.100506,2026,O_000981,intI1,influent,effluent,conventional wastewater treatment,reduction,59.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,influent,liquid_influent,final_effluent,liquid_effluent,conventional wastewater treatment,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,59.8,single_numeric,intI1,influent_to_final_effluent,,conventional_WWTP,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0520,10.1016/j.wroa.2026.100506,2026,O_000982,qnrS,influent,effluent,conventional wastewater treatment,reduction,59.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,qnrS,quinolone resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,conventional wastewater treatment,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,59.8,single_numeric,qnr,influent_to_final_effluent,,conventional_WWTP,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0520,10.1016/j.wroa.2026.100506,2026,O_000983,tetM,influent,effluent,conventional wastewater treatment,reduction,59.8,percent,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetM,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,conventional wastewater treatment,unclear,cross_stage_route,influent,final_effluent,reduction,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,59.8,single_numeric,tet,influent_to_final_effluent,,conventional_WWTP,secondary_biological_treatment,biological-conventional,biological,biological
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0564,10.1016/j.scitotenv.2023.168313,2024,O_001077,tetX,influent,effluent,all processes,removal_efficiency,99.4,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetX,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,all processes,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,99.4,single_numeric,tet,influent_to_final_effluent,,A2O,secondary_biological_treatment,membrane,membrane,membrane
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0564,10.1016/j.scitotenv.2023.168313,2024,O_001078,tetM,influent,effluent,all processes,removal_efficiency,99.24,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetM,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,all processes,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,99.24,single_numeric,tet,influent_to_final_effluent,,A2O,secondary_biological_treatment,membrane,membrane,membrane
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0564,10.1016/j.scitotenv.2023.168313,2024,O_001079,tetW,influent,effluent,all processes,removal_efficiency,98.53,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetW,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,all processes,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,98.53,single_numeric,tet,influent_to_final_effluent,,A2O,secondary_biological_treatment,membrane,membrane,membrane
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0564,10.1016/j.scitotenv.2023.168313,2024,O_001080,ermB,influent,effluent,all processes,removal_efficiency,97.65,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,ermB,macrolide-lincosamide-streptogramin resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,all processes,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,97.65,single_numeric,erm,influent_to_final_effluent,,A2O,secondary_biological_treatment,membrane,membrane,membrane
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0564,10.1016/j.scitotenv.2023.168313,2024,O_001081,tetO,influent,effluent,all processes,removal_efficiency,96.9,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetO,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,all processes,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,96.9,single_numeric,tet,influent_to_final_effluent,,A2O,secondary_biological_treatment,membrane,membrane,membrane
M1_AXIS1_REMOVAL_PERCENT,v1.0,2026-06-27,20260627,Yes,R0564,10.1016/j.scitotenv.2023.168313,2024,O_001082,tetA,influent,effluent,all processes,removal_efficiency,96.53,%,No,valid_before_after_pair,,,,,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,tetA,tetracycline resistance,ARG,gene_specific,Yes,influent,liquid_influent,final_effluent,liquid_effluent,all processes,unclear,cross_stage_route,influent,final_effluent,removal_efficiency,quantitative_removal,percent_removal,removal_percent,not_applicable,,valid_before_after_pair,Yes,ok,quantitative_core_inferred,not_applicable,,96.53,single_numeric,tet,influent_to_final_effluent,,A2O,secondary_biological_treatment,membrane,membrane,membrane
