cohort_id,cohort_version,freeze_date,freeze_date_tag,snapshot_read_only,record_id,doi,year,measurement_id,sample_id,target_name,target_type,matrix,treatment_process,raw_value,value_min,value_max,mean_value,median_value,sd,se,unit,log_transformed,normalization_method,basis,detection_method,n_samples,time_point,before_after_status,extraction_source,extraction_model,prompt_rule_version,value_scope,inter_run_agreement,normalized_target_name,normalized_arg_class,normalized_target_type,target_scope,target_eligibility_for_quant,normalized_matrix,matrix_group,matrix_fraction,stage_or_timepoint,normalized_treatment_process,treatment_group,raw_unit,raw_unit_pre_normalized,normalized_unit,unit_family,normalized_value,conversion_applied,conversion_note,final_unit,numeric_handling_status,quantitative_synthesis_eligible,detection_status,lod_loq_value,lod_loq_unit,processing_stream,normalized_value_numeric,unit_track,analysis_log10_value,analysis_display_unit,gene_family,matrix_bucket,target_cohort,usable_for_log10_abundance_synthesis,abundance_outlier_flag
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0060,10.1016/j.jhazmat.2019.121025,2020,M_000116,W1-6,sul1,ARG,secondary effluent,CAS,1000000.0,,,,,,,copies/mL,No,none,absolute abundance,qPCR,not reported,effluent of CAS system,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,secondary_effluent,liquid_effluent,,,activated_sludge,secondary_biological_treatment,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,1000000.0,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,1000000.0,liquid_absolute_log10_copies_per_mL_equivalent,6.0,log10 copies/mL,sul,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0060,10.1016/j.jhazmat.2019.121025,2020,M_000117,W1-6,sul2,ARG,secondary effluent,CAS,2250000.0,,,,,,,copies/mL,No,none,absolute abundance,qPCR,not reported,effluent of CAS system,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,sul2,sulfonamide resistance,ARG,gene_specific,Yes,secondary_effluent,liquid_effluent,,,activated_sludge,secondary_biological_treatment,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,2250000.0,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,2250000.0,liquid_absolute_log10_copies_per_mL_equivalent,6.352182518111363,log10 copies/mL,sul,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0060,10.1016/j.jhazmat.2019.121025,2020,M_000118,W2-7,qnrS,ARG,secondary effluent,microfiltration,0.46,,,,,,,copies/mL,No,none,absolute abundance,qPCR,not reported,effluent of microfiltration,after_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,qnrS,quinolone resistance,ARG,gene_specific,Yes,secondary_effluent,liquid_effluent,,,microfiltration,membrane_treatment,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,0.46,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,0.46,liquid_absolute_log10_copies_per_mL_equivalent,-0.3372421683184259,log10 copies/mL,qnr,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0060,10.1016/j.jhazmat.2019.121025,2020,M_000119,W2-7,intI1,intI1_marker,secondary effluent,microfiltration,11300.0,,,,,,,copies/mL,No,none,absolute abundance,qPCR,not reported,effluent of microfiltration process,after_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,secondary_effluent,liquid_effluent,,,microfiltration,membrane_treatment,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,11300.0,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,11300.0,liquid_absolute_log10_copies_per_mL_equivalent,4.05307844348342,log10 copies/mL,intI1,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0064,10.1186/s40793-022-00398-1,2022,M_000121,all treatment samples,intI1,intI1_marker,unclear,full-scale WWTP,11400.0,,,,,,,gene copies/mL,No,not reported,absolute abundance,qPCR,not reported,throughout treatment,unclear,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,unclear,unclear,,,full-scale WWTP,unclear,gene copies/mL,gene copies/mL,copies_per_mL,absolute_abundance_liquid,11400.0,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,quantitative_core_inferred,11400.0,liquid_absolute_log10_copies_per_mL_equivalent,4.056904851336473,log10 copies/mL,intI1,matrix_unclear,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0064,10.1186/s40793-022-00398-1,2022,M_000122,all treatment samples,intI3,intI1_marker,unclear,full-scale WWTP,4970.0,,,,,,,gene copies/mL,No,not reported,absolute abundance,qPCR,not reported,throughout treatment,unclear,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,intI3,mobile genetic element marker,MGE,mge_marker,Yes,unclear,unclear,,,full-scale WWTP,unclear,gene copies/mL,gene copies/mL,copies_per_mL,absolute_abundance_liquid,4970.0,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,quantitative_core_inferred,4970.0,liquid_absolute_log10_copies_per_mL_equivalent,3.696356388733332,log10 copies/mL,other,matrix_unclear,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0064,10.1186/s40793-022-00398-1,2022,M_000123,all treatment samples,intI2,intI1_marker,unclear,full-scale WWTP,64.0,,,,,,,gene copies/mL,No,not reported,absolute abundance,qPCR,not reported,throughout treatment,unclear,text_only_gpt5.4mini,gpt-5.4-mini,,target_specific_inferred_legacy,,intI2,mobile genetic element marker,MGE,mge_marker,Yes,unclear,unclear,,,full-scale WWTP,unclear,gene copies/mL,gene copies/mL,copies_per_mL,absolute_abundance_liquid,64.0,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,quantitative_core_inferred,64.0,liquid_absolute_log10_copies_per_mL_equivalent,1.806179973983887,log10 copies/mL,other,matrix_unclear,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0068,10.1016/j.heliyon.2024.e29601,2024,M_000124,WWTP-A,sul1,ARG,secondary effluent,Activated sludge,,,,17300000.0,,,,copies mL−1,No,16S rRNA gene,absolute abundance,qPCR,13,December 2018 to June 2019,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,secondary_effluent,liquid_effluent,,,activated_sludge,secondary_biological_treatment,copies mL−1,copies/mL,copies_per_mL,absolute_abundance_liquid,17300000.0,No,unit name pre-normalized only; numeric value not converted,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,17300000.0,liquid_absolute_log10_copies_per_mL_equivalent,7.238046103128795,log10 copies/mL,sul,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0068,10.1016/j.heliyon.2024.e29601,2024,M_000125,WWTP-B,sul1,ARG,secondary effluent,Activated sludge,,,,8950000.0,,,,copies mL−1,No,16S rRNA gene,absolute abundance,qPCR,37,December 2018 to June 2019,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,secondary_effluent,liquid_effluent,,,activated_sludge,secondary_biological_treatment,copies mL−1,copies/mL,copies_per_mL,absolute_abundance_liquid,8950000.0,No,unit name pre-normalized only; numeric value not converted,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,8950000.0,liquid_absolute_log10_copies_per_mL_equivalent,6.951823035315912,log10 copies/mL,sul,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0068,10.1016/j.heliyon.2024.e29601,2024,M_000126,WWTP-A,blaCTX-M,ARG,secondary effluent,Activated sludge,,,,18000.0,,,,copies mL−1,No,16S rRNA gene,absolute abundance,qPCR,13,December 2018 to June 2019,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,blaCTX-M,beta-lactam resistance,ARG,gene_specific,Yes,secondary_effluent,liquid_effluent,,,activated_sludge,secondary_biological_treatment,copies mL−1,copies/mL,copies_per_mL,absolute_abundance_liquid,18000.0,No,unit name pre-normalized only; numeric value not converted,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,18000.0,liquid_absolute_log10_copies_per_mL_equivalent,4.2552725051033065,log10 copies/mL,bla,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0068,10.1016/j.heliyon.2024.e29601,2024,M_000127,WWTP-B,blaCTX-M,ARG,secondary effluent,Activated sludge,,,,9010.0,,,,copies mL−1,No,16S rRNA gene,absolute abundance,qPCR,37,December 2018 to June 2019,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,blaCTX-M,beta-lactam resistance,ARG,gene_specific,Yes,secondary_effluent,liquid_effluent,,,activated_sludge,secondary_biological_treatment,copies mL−1,copies/mL,copies_per_mL,absolute_abundance_liquid,9010.0,No,unit name pre-normalized only; numeric value not converted,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,9010.0,liquid_absolute_log10_copies_per_mL_equivalent,3.954724790979063,log10 copies/mL,bla,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0068,10.1016/j.heliyon.2024.e29601,2024,M_000128,WWTP-A,intI1,MGE,secondary effluent,Activated sludge,,,,215000.0,,,,copies mL−1,No,16S rRNA gene,absolute abundance,qPCR,13,December 2018 to June 2019,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,secondary_effluent,liquid_effluent,,,activated_sludge,secondary_biological_treatment,copies mL−1,copies/mL,copies_per_mL,absolute_abundance_liquid,215000.0,No,unit name pre-normalized only; numeric value not converted,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,215000.0,liquid_absolute_log10_copies_per_mL_equivalent,5.332438459915605,log10 copies/mL,intI1,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0068,10.1016/j.heliyon.2024.e29601,2024,M_000129,WWTP-B,intI1,MGE,secondary effluent,Activated sludge,,,,171000.0,,,,copies mL−1,No,16S rRNA gene,absolute abundance,qPCR,37,December 2018 to June 2019,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,secondary_effluent,liquid_effluent,,,activated_sludge,secondary_biological_treatment,copies mL−1,copies/mL,copies_per_mL,absolute_abundance_liquid,171000.0,No,unit name pre-normalized only; numeric value not converted,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,171000.0,liquid_absolute_log10_copies_per_mL_equivalent,5.232996110392154,log10 copies/mL,intI1,secondary_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0092,10.1016/j.scitotenv.2024.175046,2024,M_000149,INF,intI1,intI1_marker,influent,activated sludge,83000000000.0,19000000000.0,83000000000.0,,,160000000000.0,,copies/L,No,not reported,volumetric abundance,qPCR,unclear,July 2018,influent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,influent,liquid_influent,,,activated_sludge,secondary_biological_treatment,copies/L,copies/L,copies_per_L,absolute_abundance_liquid,83000000.0,Yes,copies/L ÷ 1000 → copies/mL,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,83000000.0,liquid_absolute_log10_copies_per_mL_equivalent,7.919078092376074,log10 copies/mL,intI1,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0170,10.1016/j.jhazmat.2021.127352,2022,M_000286,E1_effluent_end,intI1,MGE,effluent,EGSB anaerobic reactor,19300000.0,,,,,,,copies/mL,No,not normalized,absolute abundance,unclear,not reported,end of operation,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,final_effluent,liquid_effluent,,,EGSB anaerobic reactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,19300000.0,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,19300000.0,liquid_absolute_log10_copies_per_mL_equivalent,7.285557309007774,log10 copies/mL,intI1,final_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0170,10.1016/j.jhazmat.2021.127352,2022,M_000287,E2_effluent_end,intI1,MGE,effluent,EGSB anaerobic reactor,2270000.0,,,,,,,copies/mL,No,not normalized,absolute abundance,unclear,not reported,end of operation,effluent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,final_effluent,liquid_effluent,,,EGSB anaerobic reactor,unclear,copies/mL,copies/mL,copies_per_mL,absolute_abundance_liquid,2270000.0,No,,copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,2270000.0,liquid_absolute_log10_copies_per_mL_equivalent,6.3560258571931225,log10 copies/mL,intI1,final_effluent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0245,10.1016/j.jwpe.2024.104887,2024,M_000450,S1,tnpA-05,MGE,bioaerosol,none,0.00366,,,,,,,copies/m3,No,relative abundance to 16S rRNA gene,air concentration,HT-qPCR,not reported,before UV,before_treatment,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,tnpA-05,transposase,MGE,mge_marker,Yes,bioaerosol,aerosol,,,none,unclear,copies/m3,copies/m3,copies_per_m3,absolute_abundance_air,0.00366,No,,copies_per_m3,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,0.00366,liquid_absolute_log10_copies_per_mL_equivalent,-8.436518914605589,log10 copies/mL,other,other_known,gene_mge,Yes,extreme_liquid_log10_copies_mL
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0245,10.1016/j.jwpe.2024.104887,2024,M_000451,S2,tnpA-04,MGE,other,aeration with UV irradiation,5265585.109,,,,,,,copies/m3,No,relative abundance to 16S rRNA gene,air concentration,HT-qPCR,not reported,wastewater,treated,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,tnpA-04,transposase,MGE,mge_marker,Yes,,unclear,,,aeration with UV irradiation,unclear,copies/m3,copies/m3,copies_per_m3,absolute_abundance_air,5265585.109,No,,copies_per_m3,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,5265585.109,liquid_absolute_log10_copies_per_mL_equivalent,0.7214466367734005,log10 copies/mL,other,matrix_unclear,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0262,10.1016/j.watres.2019.05.100,2019,M_000492,influent_samples,sul1,ARG,influent,WWTP influent,,,,6.54,,,,log copies/mL,Yes,not reported,per mL,qPCR,62,single time point,influent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,sul1,sulfonamide resistance,ARG,gene_specific,Yes,influent,liquid_influent,,,WWTP influent,unclear,log copies/mL,log copies/mL,log_copies_per_mL,log_abundance,6.54,No,,log_copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,6.54,liquid_absolute_log10_copies_per_mL_equivalent,6.54,log10 copies/mL,sul,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0262,10.1016/j.watres.2019.05.100,2019,M_000493,influent_samples,ermB,ARG,influent,WWTP influent,,,,6.54,,,,log copies/mL,Yes,not reported,per mL,qPCR,62,single time point,influent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,ermB,macrolide-lincosamide-streptogramin resistance,ARG,gene_specific,Yes,influent,liquid_influent,,,WWTP influent,unclear,log copies/mL,log copies/mL,log_copies_per_mL,log_abundance,6.54,No,,log_copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,6.54,liquid_absolute_log10_copies_per_mL_equivalent,6.54,log10 copies/mL,erm,influent,gene_mge,Yes,
M1_AXIS2_ABUNDANCE_LIQUID_COPIES_ML,v1.0,2026-06-27,20260627,Yes,R0262,10.1016/j.watres.2019.05.100,2019,M_000494,influent_samples,intI1,MGE,influent,WWTP influent,,,,6.54,,,,log copies/mL,Yes,not reported,per mL,qPCR,62,single time point,influent,text_only_gpt5.4mini,gpt-5.4-mini,,group_level_inferred_legacy,,intI1,mobile genetic element marker,intI1_marker,mge_marker,Yes,influent,liquid_influent,,,WWTP influent,unclear,log copies/mL,log copies/mL,log_copies_per_mL,log_abundance,6.54,No,,log_copies_per_mL,not_flagged_for_multiplier_handling,Not_assessed,detected_quantified,,,qualitative_caution,6.54,liquid_absolute_log10_copies_per_mL_equivalent,6.54,log10 copies/mL,intI1,influent,gene_mge,Yes,
