table_scope,source_cohort_id,source_cohort_rows,source_cohort_studies,dl_method,effect_input,variance_source,n_studies,n_rows,study_mean_median,study_mean_iqr_low,study_mean_iqr_high,gene_family,route,frozen_dl_synthesis_mode,pooled_mean_dl,pooled_ci_low_dl,pooled_ci_high_dl,i2_percent,q,tau2_dl,variance_imputation,imputed_sampling_variance,technology_supergroup_4group,subgroup,subgroup_type
A1_main_route_gene_forest,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,13,22,2.44,2.0,3.2,bla,influent_to_final_effluent,frozen_dl_ge10_studies,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448065,568.6093613976878,1.698562042740075,within-study median from frozen rows,0.03683888888888888,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,4.37,4.37,4.37,erm,secondary_effluent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,1.0,1.0,1.0,intI1,final_effluent_to_receiving_water_downstream,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,7,8,1.4,1.295,1.65,intI1,influent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,2,2,1.4,1.1,1.7,intI1,influent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,1.43,1.43,1.43,intI1,primary_effluent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,4,9,2.915,2.3716666666666666,3.27125,intI1,secondary_effluent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,2,2.0,2.0,2.0,intI1,sewage_sludge_to_anaerobic_sludge,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,4,4,2.66,2.2399999999999998,3.255,other,influent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,2,3,1.9725000000000001,1.48625,2.45875,other,influent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,3.0,3.0,3.0,other,secondary_effluent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,2,2,1.825,1.4125,2.2375,qnr,influent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,0.94,0.94,0.94,qnr,influent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,1.28,1.28,1.28,sul,activated_sludge_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,4.0,4.0,4.0,sul,final_effluent_to_influent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,1.46,1.46,1.46,sul,influent_to_activated_sludge,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,10,16,2.1,1.27375,3.0,sul,influent_to_final_effluent,frozen_dl_ge10_studies,2.2612602569346416,1.3760187394468297,3.1465017744224535,99.08964981297372,988.630543307638,2.017849217886036,within-study median from frozen rows,0.019460250000000005,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,5,7,1.0,1.0,1.3,sul,influent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,8,23,2.17625,2.0374999999999996,2.7537499999999993,sul,secondary_effluent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,4.0,4.0,4.0,tet,final_effluent_to_influent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,11,18,2.0,1.925,2.9975,tet,influent_to_final_effluent,frozen_dl_ge10_studies,2.3665966323435064,1.7657063226692724,2.9674869420177403,95.6143100914921,228.0142966925405,0.979487675527436,within-study median from frozen rows,0.05473055555555555,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,5,7,1.3633333333333333,0.3,1.64,tet,influent_to_secondary_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A2_gene_family_by_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,7,26,2.3666666666666667,1.6549999999999998,2.52875,tet,secondary_effluent_to_final_effluent,not_estimated_lt10_studies,,,,,,,not_estimated_lt10_studies,,,,
A3_treatment_4group,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,16,37,1.7149999999999999,0.895,2.27125,,,frozen_dl_ge5_studies,1.5707168667318057,1.1250432850601344,2.016390448403477,85.45309414254795,103.11471145127295,0.6407565924307898,within-study median from frozen rows,0.19583333333333333,biological,,
A3_treatment_4group,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,17,94,2.0,1.6833333333333336,2.5250000000000004,,,frozen_dl_ge5_studies,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,1653.7432389239568,2.3108390102633183,within-study median from frozen rows,0.050292847222222214,disinfection,,
A3_treatment_4group,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,6,18,2.7122222222222225,1.4675000000000002,2.988611111111111,,,frozen_dl_ge5_studies,2.2965318477270142,1.0892796989395976,3.503783996514431,96.06673398612139,127.12081975532294,2.078272005646139,within-study median from frozen rows,0.0804641975308642,membrane,,
A3_treatment_4group,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,4,21,2.9312500000000004,2.140625,3.5307500000000003,,,not_estimated_lt5_studies,,,,,,,not_estimated_lt5_studies,,physicochemical,,
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,1.28,1.28,1.28,,,not_estimated_lt5_studies,,,,,,,not_estimated_lt5_studies,,,activated_sludge_to_secondary_effluent,route
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,3,4.333333333333333,4.333333333333333,4.333333333333333,,,not_estimated_lt5_studies,,,,,,,not_estimated_lt5_studies,,,final_effluent_to_influent,route
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,1.0,1.0,1.0,,,not_estimated_lt5_studies,,,,,,,not_estimated_lt5_studies,,,final_effluent_to_receiving_water_downstream,route
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,1,1.46,1.46,1.46,,,not_estimated_lt5_studies,,,,,,,not_estimated_lt5_studies,,,influent_to_activated_sludge,route
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,25,81,2.27,1.5,3.0,,,frozen_dl_ge5_studies,2.2187296536533787,1.5866949073200685,2.850764399986689,99.47562444861204,4576.872422155205,2.4845175058428253,within-study median from frozen rows,0.08600337752525253,,influent_to_final_effluent,route
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,9,28,1.1183333333333332,0.754,2.0,,,frozen_dl_ge5_studies,1.172172563132929,0.8365071040874064,1.5078380221784515,78.98181059262424,38.062269993592395,0.1777196150250243,within-study median from frozen rows,0.08716805555555555,,influent_to_secondary_effluent,route
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,4,1.9374999999999998,1.9374999999999998,1.9374999999999998,,,not_estimated_lt5_studies,,,,,,,not_estimated_lt5_studies,,,primary_effluent_to_secondary_effluent,route
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,10,64,2.335,2.0125,2.8502083333333332,,,frozen_dl_ge5_studies,2.5137945833412725,1.9320862182841094,3.0955029483984355,93.31235713031228,134.5765642001194,0.756618067095763,within-study median from frozen rows,0.06273802982731552,,secondary_effluent_to_final_effluent,route
C1_route,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,1,2,2.0,2.0,2.0,,,not_estimated_lt5_studies,,,,,,,not_estimated_lt5_studies,,,sewage_sludge_to_anaerobic_sludge,route
C1_treatment_4group,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,16,37,1.7149999999999999,0.895,2.27125,,,frozen_dl_ge5_studies,1.5707168667318057,1.1250432850601344,2.016390448403477,85.45309414254795,103.11471145127295,0.6407565924307898,within-study median from frozen rows,0.19583333333333333,,biological,treatment_4group
C1_treatment_4group,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,17,94,2.0,1.6833333333333336,2.5250000000000004,,,frozen_dl_ge5_studies,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,1653.7432389239568,2.3108390102633183,within-study median from frozen rows,0.050292847222222214,,disinfection,treatment_4group
C1_treatment_4group,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,6,18,2.7122222222222225,1.4675000000000002,2.988611111111111,,,frozen_dl_ge5_studies,2.2965318477270142,1.0892796989395976,3.503783996514431,96.06673398612139,127.12081975532294,2.078272005646139,within-study median from frozen rows,0.0804641975308642,,membrane,treatment_4group
C1_treatment_4group,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,4,21,2.9312500000000004,2.140625,3.5307500000000003,,,not_estimated_lt5_studies,,,,,,,not_estimated_lt5_studies,,,physicochemical,treatment_4group
