gene_family,route,source_cohort_id,source_cohort_rows,source_cohort_studies,analysis_scope_rows,analysis_scope_studies,n_studies,n_rows,median_study_level,iqr_low_study_level,iqr_high_study_level,min_study_level,max_study_level,bootstrap_median_ci_low,bootstrap_median_ci_high,display_unit,descriptive_synthesis_mode,frozen_dl_n_studies,frozen_dl_n_rows,pooled_mean_dl_frozen,pooled_ci_low_dl_frozen,pooled_ci_high_dl_frozen,i2_percent_frozen,q_frozen,tau2_dl_frozen,variance_imputation,imputed_sampling_variance,frozen_dl_synthesis_mode,dl_method,effect_input,variance_source,frozen_dl_study_n_match,frozen_dl_row_n_match,i2_pooled_source
bla,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,13,22,2.44,2.0,3.2,0.17,4.54,2.0,3.2,log10 reduction,median_iqr_bootstrap_ci,13,22,2.437690377164553,1.721161305539351,3.1542194487897546,97.88958803448065,568.6093613976878,1.698562042740075,within-study median from frozen rows,0.03683888888888888,frozen_dl_ge10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
bla,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,2,4,1.205,0.8075,1.6025,0.41,2.0,0.41,2.0,log10 reduction,list_or_descriptive_lt_min_studies,2,4,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
bla,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,3,5,0.98,0.89,2.34,0.8,3.7,0.8,3.7,log10 reduction,list_or_descriptive_lt_min_studies,3,5,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
bla,final_effluent_to_influent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
intI1,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,7,8,1.4,1.295,1.65,0.2,2.9,1.23,1.8,log10 reduction,list_or_descriptive_lt_min_studies,7,8,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
intI1,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,4,9,2.915,2.335,3.22125,1.15,3.585,1.15,3.585,log10 reduction,list_or_descriptive_lt_min_studies,4,9,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
intI1,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,2,2,1.4,1.1,1.7,0.8,2.0,0.8,2.0,log10 reduction,list_or_descriptive_lt_min_studies,2,2,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
intI1,final_effluent_to_receiving_water_downstream,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
intI1,primary_effluent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,1.43,1.43,1.43,1.43,1.43,1.43,1.43,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
intI1,sewage_sludge_to_anaerobic_sludge,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,log10 reduction,list_or_descriptive_lt_min_studies,1,2,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
erm,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,8,11,2.475,1.495,3.21625,1.12,3.805,1.36,3.64,log10 reduction,list_or_descriptive_lt_min_studies,8,11,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
erm,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,4.37,4.37,4.37,4.37,4.37,4.37,4.37,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
erm,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,3,3,1.22,0.85,1.96,0.48,2.7,0.48,2.7,log10 reduction,list_or_descriptive_lt_min_studies,3,3,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
erm,primary_effluent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,3,2.13,2.13,2.13,2.13,2.13,2.13,2.13,log10 reduction,list_or_descriptive_lt_min_studies,1,3,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
qnr,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,2,2,1.825,1.4125,2.2375,1.0,2.65,1.0,2.65,log10 reduction,list_or_descriptive_lt_min_studies,2,2,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
qnr,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
other,influent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,4,4,2.66,2.24,3.255,2.0,4.02,2.0,4.02,log10 reduction,list_or_descriptive_lt_min_studies,4,4,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
other,secondary_effluent_to_final_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,log10 reduction,list_or_descriptive_lt_min_studies,1,1,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
other,influent_to_secondary_effluent,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,185,45,2,3,1.9725,1.48625,2.45875,1.0,2.9450000000000003,1.0,2.9450000000000003,log10 reduction,list_or_descriptive_lt_min_studies,2,3,,,,,,,not_estimated_lt10_studies,,not_estimated_lt10_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
